pond_id,cycle_id,measured_date,morning_temperature,evening_temperature,morning_do,evening_do,morning_salinity,evening_salinity,morning_pH,evening_pH,transparency,turbidity,ammonia,nitrate,nitrite,alkalinity,hardness,calcium,magnesium,carbonate,bicarbonate,tom,total_plankton_
22418,20526,2022-10-09,25.6,27.7,6.9,7.7,19.0,17.0,8.1,,35.0,,,,,,,,,,,,
30349,15006,2022-05-20,27.636,,1.504,,11.498,,8.427,,12.5,,,,,,,,,,,,
33525,12862,2022-11-26,28.0,30.5,4.72,4.46,30.0,30.0,7.68,8.28,42.5,,,,,,,,,,,,
33525,12862,2022-12-11,27.5,31.5,0.2,3.8,30.0,30.0,7.68,8.14,35.0,,,,,,,,,,,,
32198,15496,2022-05-10,28.3,31.2,,,19.0,18.0,7.3,,,,,,,,,,,,,,
14351,17112,2022-11-12,,,,4.2,,,,7.3,30.0,,,,,,,,,,,,
34697,16054,2022-08-31,25.366666667,24.9,6.166666667,6.92,,,8.633333333,8.8,70.0,,,,,,,,,,,,
16690,19312,2023-01-28,,,,5.5,,,,,45.0,,,,,,,,,,,,
24265,17403,2023-04-12,27.5,,,,5.0,,7.9,,30.0,,,,,,,,,,,,
12568,18367,2022-05-31,27.2,28.2,,,,,8.5,8.8,55.0,,,,,,,,,,,,
32335,18919,2022-05-30,26.5,33.0,4.5,7.5,18.5,17.0,8.2,,,,,,,,,,,,,,
34696,15487,2022-09-02,22.6,23.5,5.366666667,7.95,20.0,,8.4,8.2,50.0,,,,,,,,,,,,
12545,10714,2022-07-13,25.8,28.0,,,,,7.6,,31.0,,,,,,,,,,,,
31876,20976,2022-06-15,27.0,28.0,,,28.0,,8.2,8.3,52.5,,,,,,,,,,,,
20902,15484,2022-09-19,27.0,,5.28,,25.0,,7.53,,40.0,,0.043,,1.8,125.0,786.0,315.0,990.0,,125.0,116.0,272500.0
3,9096,2023-02-02,27.539,30.173,-10.665,,18.0,18.0,8.15,8.3,40.0,,,,0.009,137.0,2995.0,244.0,644.0,0.0,137.0,44.61,
2,17043,2023-01-26,27.7,27.8,,,20.0,19.0,7.7,8.11,45.0,,,,,,,,,,,,
33522,16156,2022-11-18,27.1,29.1,5.68,4.76,30.0,30.0,7.68,8.07,47.5,,,,0.5,84.0,5900.0,1160.0,729.0,0.0,84.0,103.41,
6,15756,2023-03-10,27.653,33.054,4.439,4.971,18.866,16.128,7.944,8.648,40.0,,,,0.058,129.0,2955.0,265.0,630.0,0.0,129.0,66.11,
38791,18828,2023-03-23,29.491,31.494,3.594,3.91,12.785,12.162,8.194,,,,,,,,,,,,,,
32217,16051,2022-10-29,28.572,29.334,5.925,5.317,6.596,6.522,7.991,8.45,,,,,,,,,,,,,
34697,16054,2022-11-23,28.566666667,30.233333333,3.366666667,2.633333333,,,,,35.0,,,,,,,,,,,,
16690,19312,2023-02-25,,,,4.7,,,,7.6,35.0,,,,,,,,,,,,
19173,19302,2022-08-31,28.0,30.0,,,12.0,12.0,8.1,,37.5,,,,,,,,,,,,
12568,18367,2022-05-20,28.3,29.8,,,,,8.5,8.8,80.0,,,,,,,,,,,,
12568,18367,2022-06-13,27.0,28.1,,,,,7.7,7.9,60.0,,,,,,,,,,,,
25578,15213,2022-07-19,29.0,,,,15.0,,8.5,,,,,,,,,,,,,,
32305,16708,2022-07-05,29.754,32.039,7.37,7.43,11.166,11.313,8.508,,,,,,,,,,,,,,
34696,18405,2023-04-18,25.366666667,26.7,5.5,7.6,,,7.133333333,8.0,25.0,,,,,,,,,,,,
34696,18405,2023-05-25,26.066666667,26.9,4.433333333,5.716666667,,,7.0,7.533333333,15.0,,,,,,,,,,,,
8,19313,2022-08-26,26.725,29.025,4.677,5.507,31.715,26.297,8.12,,70.0,,,,,80.0,,,,,,,100000.0
32218,16251,2022-06-28,25.832,27.968,3.579,5.04,18.576,20.0,7.73,,,,,,,,,,,,,,
31876,20976,2022-06-04,28.0,30.0,,,29.0,29.0,8.3,8.5,65.0,,,,,,,,,,,,
7370,20739,2022-12-19,27.2,30.8,4.55,5.78,30.0,30.0,7.68,8.49,25.0,,,,,,,,,,,,
24758,16341,2021-12-01,26.0,28.0,4.8,3.8,16.0,15.0,7.8,7.8,,,,,,,,,,,,,
38744,16336,2023-04-08,,,,,,,7.7,,,,,,,,,,,,,,
37209,12705,2023-02-23,28.4,,6.0,,14.0,,7.64,,,,,,,,,,,,,,
21967,16666,2021-07-15,26.9,28.2,5.19,4.91,32.0,,7.62,7.83,40.0,,,,,,,,,,,,
14352,16215,2022-12-19,,,,4.3,,,,,,,,,,,,,,,,,
6,18616,2022-09-22,27.816,29.271,4.373,6.476,24.428,24.113,5.519,,55.0,,,,,,,,,,,,
37065,20834,2023-02-03,27.2,28.5,4.5,5.6,13.0,12.0,7.56,8.4,35.0,,,,,,,,,,,,
31471,12853,2022-07-10,25.0,27.0,,,30.0,,8.0,9.0,35.0,,,,,,,,,,,,
1,14585,2022-02-05,28.969,29.488,5.243,5.751,14.806,14.432,8.195,8.328,100.0,,,,,,,,,,,,
33526,12359,2022-11-20,25.3,30.0,5.66,5.53,30.0,30.0,7.81,8.36,42.5,,,,,,,,,,,,
31454,18753,2022-07-01,25.0,28.0,,,30.0,,8.1,8.4,30.0,,,,,,,,,,,,
7,18975,2022-09-28,28.065,30.283,6.883,8.219,23.107,21.71,8.033,,52.5,,,,0.023,121.0,5248.0,993.0,4255.0,,121.0,89.0,332500.0
25399,18537,2022-10-02,,300.0,,8.2,,15.0,,8.7,40.0,,,,,,,,,,,,
31463,19307,2022-12-28,27.0,28.0,,,20.0,,7.7,8.1,32.5,,,,0.129,106.0,3700.0,360.0,812.0,0.0,106.0,112.0,3175000.0
36526,18056,2022-11-05,30.2,33.8,3.75,7.41,26.6,26.2,7.65,8.53,40.0,,1.3,2.0,,177.0,5911.189,291.0,1259.0,,,,367500.25
22419,17468,2022-10-07,25.9,,9.3,,16.0,,8.2,,40.0,,,,,,,,,,,,
12087,13791,2022-11-29,,,,,,,,,,,,,,,,,,,,,
19188,18134,2021-02-24,27.97,29.72,5.66,7.78,25.0,25.0,8.0,,55.0,,,,,,,,,,,,
38263,19372,2023-05-22,,28.0,,4.01,30.0,,7.7,7.9,35.0,,,,2.842,166.0,5200.0,400.0,1021.0,0.0,166.0,116.86,110000.0
36830,19681,2022-11-25,27.4,28.4,5.4,5.1,34.0,,7.89,7.94,,,,,,,,,,,,,
34722,22601,2023-05-07,26.1,27.3,3.8,5.2,,,7.0,7.3,30.0,,,,,,,,,,,,
7387,18827,2023-05-15,,,,,25.0,25.0,8.1,8.1,,,,,,,,,,,,,25000.0
32228,22404,2022-09-09,28.833,,5.841,,22.889,,7.904,,,,,,,,,,,,,,
31329,16064,2022-06-19,26.2,28.6,6.45,6.1,14.0,17.1,7.66,7.59,,,,,,,,,,,,,
31451,14583,2022-07-11,27.0,29.0,,,31.0,,8.1,8.2,40.0,,,,0.041,120.0,5353.0,364.0,1212.0,8.0,112.0,93.0,1750000.0
33527,20438,2022-11-24,27.9,30.4,4.53,4.25,29.0,29.0,7.63,8.11,40.0,,,,0.25,90.0,5700.0,920.0,826.2,0.0,90.0,74.76,87.0
12548,18744,2022-06-04,27.1,30.2,,,,,8.3,8.4,58.0,,,,,,,,,,,,
33364,12491,2022-07-17,,,,,10.0,,8.1,,12.0,,,,,,,,,,,,
7,18975,2022-10-07,27.101,28.789,4.378,4.837,23.567,22.979,8.189,,47.5,,,,0.013,127.0,5248.0,1135.0,4113.0,,127.0,88.0,237500.0
32245,18028,2022-08-27,26.938,28.677,3.574,4.779,16.365,15.995,7.493,8.089,,,,,,,,,,,,,
12537,12868,2022-06-19,26.0,29.0,,,,,7.7,8.2,36.0,,,,,,,,,,,,
34729,18538,2022-11-13,28.8,31.0,4.1,5.0,,,7.4,7.6,30.0,,,,,,,,,,,,
34729,20975,2023-05-24,27.15,27.533333333,4.0,6.133333333,,,7.5,8.333333333,35.0,,,,,,,,,,,,
34724,15505,2022-08-31,25.1,24.5,4.6,5.1,,,6.6,6.9,35.0,,,,,,,,,,,,
33362,20550,2022-10-11,,,,,8.0,,8.0,,,,,,,,,,,,,,
31477,14972,2022-08-07,25.0,30.0,,,31.0,,7.9,8.2,32.5,,,,,,,,,,,,
18389,19065,2021-12-03,28.0,29.0,5.45,4.52,,25.0,7.7,8.07,,,0.012,3.0,0.046,136.0,5600.0,1100.0,4500.0,0.0,136.0,46.0,0.0
31344,20216,2022-04-02,28.0,31.0,6.3,6.2,20.0,19.0,8.23,8.28,40.0,,,,,,,,,,,,
36583,21273,2022-12-23,29.0,29.0,,,21.0,,7.5,7.9,30.0,,,,,,,,,,,,
